json_path,json_field,ontology_term,term_type,source_file,mapping_status,notes
[].constituencyOrPanel,(constituency/panel individual),members:Constituencies,Class,members.owl.ttl,mapped,"Primary individual; subtyped as members:DailConstituency or members:SeanadPanel based on representType field"
[].constituencyOrPanel.uri,uri,members:Constituencies,Class,members.owl.ttl,mapped,"Used directly as the IRI of the :DailConstituency or :SeanadPanel individual"
[].constituencyOrPanel.showAs,showAs,skos:prefLabel,AnnotationProperty,skos,mapped,"Display label on the constituency/panel individual e.g. 'Dublin Mid-West'; 'Agricultural Panel'"
[].constituencyOrPanel.representCode,representCode,members:representCode,DatatypeProperty,members.owl.ttl,mapped,"xsd:string; short API code on the Constituencies individual e.g. 'Dublin-Mid-West'; 'Agricultural-Panel'; also the slug in the individual IRI"
[].constituencyOrPanel.representType,representType,members:DailConstituency / members:SeanadPanel,Class,members.owl.ttl,implicit,"'constituency' → members:DailConstituency; 'panel' → members:SeanadPanel; expressed via OWL class typing not a string property; the two subclasses are owl:disjointWith each other"
[].house,(house term individual),agents:HouseTerm,Class,agents.owl.ttl,mapped,"Associated HouseTerm individual; subtyped as agents:DailTerm or agents:SeanadTerm based on houseCode"
[].house,(term link),members:constituencyInHouseTerm,ObjectProperty,members.owl.ttl,new,"Domain: members:Constituencies; Range: agents:HouseTerm; links the constituency/panel to the specific numbered term for which it is defined; rdfs:subPropertyOf members:inHouseTerm"
[].house.uri,uri,agents:HouseTerm,Class,agents.owl.ttl,mapped,"Used as the IRI of the HouseTerm individual; also the object value of members:constituencyInHouseTerm on the constituencyOrPanel individual"
[].house.houseNo,houseNo,agents:termNo,DatatypeProperty,agents.owl.ttl,mapped,"xsd:integer; ordinal number of the term on the HouseTerm individual e.g. 9; 34; also encoded in the HouseTerm IRI path"
[].house.houseCode,houseCode,agents:houseCode,DatatypeProperty,agents.owl.ttl,mapped,"xsd:string; short house code on the HouseTerm individual e.g. 'dail'; 'seanad'"
[].house.houseCode,houseCode,agents:DailTerm / agents:SeanadTerm,Class,agents.owl.ttl,implicit,"'dail' → agents:DailTerm; 'seanad' → agents:SeanadTerm; expressed via OWL class typing not a string property; derivable from HouseTerm IRI path"
[].house.showAs,showAs,skos:prefLabel,AnnotationProperty,skos,mapped,"Display label on the HouseTerm individual e.g. '9th Dáil'; '34th Dáil'"
