json_path,json_field,ontology_term,term_type,source_file,mapping_status,notes
results[].party,(party individual),members:PartyGrouping,Class,members.owl.ttl,implicit,Party individual; IRI = party.uri; subtyped members:Party for named parties or left as members:PartyGrouping for :Independent
results[].party.uri,uri,members:PartyGrouping,Class,members.owl.ttl,implicit,Used directly as the IRI of the members:PartyGrouping individual; no separate property needed
results[].party.partyCode,partyCode,members:partyCode,DatatypeProperty,members.owl.ttl,mapped,xsd:string; short code identifying the party (e.g. 'Fianna_Fáil'); domain members:PartyGrouping. For partyCode='Independent' the IRI corresponds to the :Independent named individual defined in members.owl.
results[].party.showAs,showAs,skos:prefLabel,AnnotationProperty,skos (external),new,Display name of the party (e.g. 'Fine Gael'); mapped to skos:prefLabel on the members:PartyGrouping individual. Mapping convention documented via skos:scopeNote added to members:PartyGrouping in members.owl.ttl.
results[],(party → house association),members:activeDuringTerm,ObjectProperty,members.owl.ttl,new,Links the members:PartyGrouping individual (party.uri as subject) to the agents:HouseTerm individual (house.uri as object); domain members:PartyGrouping; range agents:HouseTerm. Property added to members.owl.ttl.
results[].house,(house term individual),agents:HouseTerm,Class,agents.owl.ttl,implicit,HouseTerm individual; IRI = house.uri; subtyped agents:DailTerm or agents:SeanadTerm based on house.houseCode
results[].house.uri,uri,agents:HouseTerm,Class,agents.owl.ttl,implicit,Used directly as the IRI of the agents:HouseTerm individual; no separate property needed
results[].house.houseNo,houseNo,agents:termNo,DatatypeProperty,agents.owl.ttl,new,xsd:integer; ordinal term number (e.g. 31 for the 31st Dáil); domain agents:HouseTerm. Property added to agents.owl.ttl.
results[].house.houseCode,houseCode,agents:houseCode,DatatypeProperty,agents.owl.ttl,new,xsd:string; house slug (e.g. 'dail' or 'seanad'); domain agents:HouseTerm. Also determines class subtyping (agents:DailTerm or agents:SeanadTerm). Property added to agents.owl.ttl.
results[].house.showAs,showAs,skos:prefLabel,AnnotationProperty,skos (external),new,Display name of the house term (e.g. '31st Dáil'); mapped to skos:prefLabel on the agents:HouseTerm individual. Mapping convention documented via skos:scopeNote added to agents:HouseTerm in agents.owl.ttl.
