json_path,json_field,ontology_term,term_type,source_file,mapping_status,notes
member,member,agents:Member,Class,agents.owl.ttl,mapped,"Top-level person individual; IRI = member.uri"
member.uri,uri,agents:Member,Class,agents.owl.ttl,mapped,"Used directly as the IRI of the agents:Member individual"
member.showAs,showAs,foaf:name,AnnotationProperty,foaf,mapped,"Preferred display label; also mapped from member.fullName"
member.fullName,fullName,foaf:name,AnnotationProperty,foaf,mapped,"See also member.showAs"
member.firstName,firstName,foaf:firstName,AnnotationProperty,foaf,mapped,
member.lastName,lastName,foaf:familyName,AnnotationProperty,foaf,mapped,
member.memberCode,memberCode,agents:memberCode,DatatypeProperty,agents.owl.ttl,new,"xsd:string; unique API member code e.g. 'Timmy-Dooley.S.2002-09-12'"
member.pId,pId,agents:pId,DatatypeProperty,agents.owl.ttl,new,"xsd:string; short internal parliamentary identifier slug e.g. 'TimDooley'"
member.gender,gender,agents:gender,DatatypeProperty,agents.owl.ttl,new,"xsd:string; plain string as returned by API"
member.dateOfDeath,dateOfDeath,agents:dateOfDeath,DatatypeProperty,agents.owl.ttl,new,"xsd:dateTime; null when living"
member.wikiTitle,wikiTitle,agents:wikiTitle,DatatypeProperty,agents.owl.ttl,new,"xsd:string; Wikipedia article title; construct Wikipedia/DBpedia URI from this"
member.image,image,agents:hasImage,DatatypeProperty,agents.owl.ttl,new,"xsd:boolean; presence flag only — not a URI to the image resource"
member.memberships[].membership,(membership record),members:OireachtasMembership,Class,members.owl.ttl,mapped,"Linked from agents:Member via members:hasMembersMembership; subtyped as members:DailMembership or members:SeanadMembership"
member.memberships[].membership,(membership record),members:hasMembersMembership,ObjectProperty,members.owl.ttl,mapped,"Domain: agents:Member; Range: members:MembersMembership; links member to each membership record"
member.memberships[].membership.uri,uri,members:OireachtasMembership,Class,members.owl.ttl,mapped,"Used as the IRI of the membership individual"
member.memberships[].membership.dateRange,(date range),members:DateRange,Class,members.owl.ttl,mapped,"Linked from membership record via members:hasMembershipDateRange"
member.memberships[].membership.dateRange,(date range),members:hasMembershipDateRange,ObjectProperty,members.owl.ttl,mapped,"Domain: org:Membership; Range: members:DateRange"
member.memberships[].membership.dateRange.start,start,members:StartDate,DatatypeProperty,members.owl.ttl,mapped,"xsd:dateTime on members:DateRange individual"
member.memberships[].membership.dateRange.end,end,members:EndDate,DatatypeProperty,members.owl.ttl,mapped,"xsd:dateTime on members:DateRange individual; null = current/open-ended"
member.memberships[].membership.house,(house term),agents:HouseTerm,Class,agents.owl.ttl,mapped,"Subtyped agents:DailTerm or agents:SeanadTerm"
member.memberships[].membership.house,(continuous house link),members:isOireachtasMembershipOf,ObjectProperty,members.owl.ttl,mapped,"Domain: members:OireachtasMembership; Range: agents:House; links to continuous house individual e.g. <.../house/dail>"
member.memberships[].membership.house,(term link),members:inHouseTerm,ObjectProperty,members.owl.ttl,mapped,"Domain: members:OireachtasMembership; Range: agents:HouseTerm; links to specific numbered term individual"
member.memberships[].membership.house.uri,uri,agents:HouseTerm,Class,agents.owl.ttl,mapped,"Used as the IRI of the HouseTerm individual"
member.memberships[].membership.house.houseCode,houseCode,agents:DailTerm / agents:SeanadTerm,Class,agents.owl.ttl,implicit,"'dail' → agents:DailTerm; 'seanad' → agents:SeanadTerm; derivable from IRI and class typing"
member.memberships[].membership.house.houseNo,houseNo,agents:HouseTerm,Class,agents.owl.ttl,implicit,"Encoded in the HouseTerm individual IRI path (e.g. .../house/dail/33); no separate datatype property"
member.memberships[].membership.house.showAs,showAs,skos:prefLabel,AnnotationProperty,skos,mapped,"Label on the HouseTerm individual e.g. '33rd Dáil'"
member.memberships[].membership.house.chamberType,chamberType,members:Dail / members:Seanad,Class,members.owl.ttl,implicit,"Only value seen is 'house'; maps to class typing; no explicit datatype property defined"
member.memberships[].membership.represents[].represent,(constituency/panel),members:Constituencies,Class,members.owl.ttl,mapped,"Subtyped members:DailConstituency or members:SeanadPanel"
member.memberships[].membership.represents[].represent,(link),members:isRepresentativeFrom,ObjectProperty,members.owl.ttl,mapped,"Domain: members:OireachtasMembership; Range: members:Constituencies; links membership to constituency/panel individual"
member.memberships[].membership.represents[].represent.uri,uri,members:Constituencies,Class,members.owl.ttl,mapped,"Used as the IRI of the constituency/panel individual"
member.memberships[].membership.represents[].represent.representType,representType,members:DailConstituency / members:SeanadPanel,Class,members.owl.ttl,implicit,"'constituency' → members:DailConstituency; 'panel' → members:SeanadPanel; expressed via class typing not a string property"
member.memberships[].membership.represents[].represent.showAs,showAs,skos:prefLabel,AnnotationProperty,skos,mapped,"Label on the constituency/panel individual e.g. 'Clare'"
member.memberships[].membership.represents[].represent.representCode,representCode,members:representCode,DatatypeProperty,members.owl.ttl,new,"xsd:string; short code on the Constituencies individual e.g. 'Clare' 'Administrative-Panel'"
member.memberships[].membership.parties[].party,(party membership record),members:PartyMembership,Class,members.owl.ttl,mapped,"Linked from agents:Member via members:hasMembersMembership; party linked via members:isPartyMembershipOf"
member.memberships[].membership.parties[].party,(link to party),members:isPartyMembershipOf,ObjectProperty,members.owl.ttl,mapped,"Domain: members:PartyMembership; Range: members:PartyGrouping"
member.memberships[].membership.parties[].party.dateRange,(date range),members:DateRange,Class,members.owl.ttl,mapped,"Via members:hasMembershipDateRange on the PartyMembership record"
member.memberships[].membership.parties[].party.dateRange.start,start,members:StartDate,DatatypeProperty,members.owl.ttl,mapped,"xsd:dateTime"
member.memberships[].membership.parties[].party.dateRange.end,end,members:EndDate,DatatypeProperty,members.owl.ttl,mapped,"xsd:dateTime; null = current"
member.memberships[].membership.parties[].party.uri,uri,members:Party,Class,members.owl.ttl,mapped,"Used as the IRI of the Party individual"
member.memberships[].membership.parties[].party.showAs,showAs,skos:prefLabel,AnnotationProperty,skos,mapped,"Label on the Party individual e.g. 'Fianna Fáil'"
member.memberships[].membership.parties[].party.partyCode,partyCode,members:partyCode,DatatypeProperty,members.owl.ttl,new,"xsd:string; short party code on the Party individual e.g. 'Fianna_Fáil'"
member.memberships[].membership.committees[],(committee membership record),members:CommitteeMembership,Class,members.owl.ttl,mapped,"Subtyped members:DailSelectCommitteeMembership or members:SeanadSelectCommitteeMembership; linked from agents:Member via members:hasMembersMembership"
member.memberships[].membership.committees[],(link to committee),members:isCommitteeMembershipOf,ObjectProperty,members.owl.ttl,mapped,"Domain: members:CommitteeMembership; Range: members:Committee; links membership record to the committee individual"
member.memberships[].membership.committees[].uri,uri,members:Committee,Class,members.owl.ttl,mapped,"Used as the IRI of the Committee individual"
member.memberships[].membership.committees[].memberDateRange,(date range),members:DateRange,Class,members.owl.ttl,mapped,"Via members:hasMembershipDateRange on the CommitteeMembership record; member's dates on this committee"
member.memberships[].membership.committees[].memberDateRange.start,start,members:StartDate,DatatypeProperty,members.owl.ttl,mapped,"xsd:dateTime"
member.memberships[].membership.committees[].memberDateRange.end,end,members:EndDate,DatatypeProperty,members.owl.ttl,mapped,"xsd:dateTime"
member.memberships[].membership.committees[].committeeDateRange,committeeDateRange,,,,future_work,"Operational lifespan of the committee itself (not the member's tenure); needs :hasCommitteeDateRange on members:Committee"
member.memberships[].membership.committees[].committeeDateRange.start,start,,,,future_work,"As above"
member.memberships[].membership.committees[].committeeDateRange.end,end,,,,future_work,"As above"
member.memberships[].membership.committees[].committeeName,committeeName,,,,future_work,"Array of names each with a validity dateRange; requires reification pattern e.g. :CommitteeName class with :nameEn :nameGa and :hasMembershipDateRange"
member.memberships[].membership.committees[].committeeName[].nameEn,nameEn,,,,future_work,"Part of time-bounded name record; rdfs:label/@en would suit but cannot be temporally scoped without reification"
member.memberships[].membership.committees[].committeeName[].nameGa,nameGa,,,,future_work,"Part of time-bounded name record; rdfs:label/@ga would suit but cannot be temporally scoped without reification"
member.memberships[].membership.committees[].committeeCode,committeeCode,members:committeeCode,DatatypeProperty,members.owl.ttl,new,"xsd:string; short alphanumeric API code on the Committee individual e.g. 'CAJ' 'CC2'"
member.memberships[].membership.committees[].committeeID,committeeID,members:committeeID,DatatypeProperty,members.owl.ttl,new,"xsd:integer; numeric committee identifier on the Committee individual"
member.memberships[].membership.committees[].committeeType,committeeType,agents:hasCommitteeType,ObjectProperty,agents.owl.ttl,mapped,"Range: skos:Concept in agents:CommitteeTypeTable; maps structural types 'Select' 'Joint' 'Special'"
member.memberships[].membership.committees[].committeeType,committeeType,agents:hasCommitteePurpose,ObjectProperty,agents.owl.ttl,new,"Range: skos:Concept in agents:CommitteePurposeTable; maps 'Policy' → agents:PolicyPurpose; 'Shadow Department' → agents:ShadowDepartmentPurpose"
member.memberships[].membership.committees[].committeeType values: Select/Joint/Special,committeeType,agents:SelectCommitteeType / agents:JointCommitteeType / agents:SpecialCommitteeType,Individual,agents.owl.ttl,mapped,"skos:Concept members of agents:CommitteeTypeTable; value of agents:hasCommitteeType"
member.memberships[].membership.committees[].committeeType values: Policy/Shadow Department,committeeType,agents:PolicyPurpose / agents:ShadowDepartmentPurpose,Individual,agents.owl.ttl,new,"skos:Concept members of agents:CommitteePurposeTable; value of agents:hasCommitteePurpose"
member.memberships[].membership.committees[].expiryType,expiryType,,,,future_work,"'Special' or 'Sessional'; needs CommitteeExpiryTable concept scheme and :hasCommitteeExpiryType property"
member.memberships[].membership.committees[].mainStatus,mainStatus,,,,future_work,"'Archived' / 'Active'; needs CommitteeStatusTable concept scheme and status property on members:Committee"
member.memberships[].membership.committees[].status,status,,,,future_work,"Same as mainStatus; appears to carry the current value; same resolution needed"
member.memberships[].membership.committees[].serviceUnit,serviceUnit,,,,future_work,"Administrative string e.g. 'Committees Secretariat'; low priority; could be plain rdfs:label subproperty if needed"
member.memberships[].membership.committees[].role,role,members:hasCommitteeRole,ObjectProperty,members.owl.ttl,new,"Domain: members:CommitteeMembership; Range: org:Role; absent when member holds no special role"
member.memberships[].membership.committees[].role values: Chair,role,members:Chair,Class,members.owl.ttl,mapped,"org:Role subclass; pre-existing"
member.memberships[].membership.committees[].role values: Deputy Chair,role,members:DeputyChair,Class,members.owl.ttl,new,"org:Role subclass; added in member.json alignment"
member.memberships[].membership.committees[].houseCode,houseCode,,,,implicit,"Derivable from committee URI path or inHouseTerm reference; no separate property needed"
member.memberships[].membership.committees[].houseNo,houseNo,,,,implicit,"Derivable from committee URI path; no separate property needed"
member.memberships[].membership.offices[],(office record),members:MinisterOfStateMembership,Class,members.owl.ttl,mapped,"Linked from agents:Member via members:hasMembersMembership; linked to role via members:hasMinisterOfStateRole"
member.memberships[].membership.offices[].office.dateRange,(date range),members:DateRange,Class,members.owl.ttl,mapped,"Via members:hasMembershipDateRange on the MinisterOfStateMembership record"
member.memberships[].membership.offices[].office.dateRange.start,start,members:StartDate,DatatypeProperty,members.owl.ttl,mapped,"xsd:dateTime"
member.memberships[].membership.offices[].office.dateRange.end,end,members:EndDate,DatatypeProperty,members.owl.ttl,mapped,"xsd:dateTime; null = current"
member.memberships[].membership.offices[].office.officeName.showAs,showAs,skos:prefLabel,AnnotationProperty,skos,mapped,"Label on the MinisterOfStateRole individual e.g. 'Minister of State at the Department of Agriculture...'"
member.memberships[].membership.offices[].office.officeName.uri,uri,members:officeNameUri,ObjectProperty,members.owl.ttl,new,"Links MinisterOfStateMembership to the dereferenceable office IRI when non-null; Option B (named individuals per office) deferred to Future Work"
